@relation 'twittertruth_mh370'
@attribute friend_count numeric
@attribute follower_count numeric
@attribute tweet_count numeric
@attribute is_verified {'TRUE', 'FALSE'}
@attribute is_user_url {'TRUE', 'FALSE'}
@attribute is_user_desc {'TRUE', 'FALSE'}
@attribute post_register_gap numeric
@attribute retweet {'TRUE', 'FALSE'}
@attribute retweet_count numeric
@attribute favorite_count numeric
@attribute tweet_length numeric
@attribute location_on {'TRUE', 'FALSE'}
@attribute hashtag_count numeric
@attribute mention_count numeric
@attribute url_count numeric
@attribute class {F, T}
@data
11,677,70301,FALSE,TRUE,TRUE,5,FALSE,0,0,83,FALSE,2,0,1,T
11,677,70302,FALSE,TRUE,TRUE,5,FALSE,0,0,105,FALSE,2,0,1,T
34,4,165,FALSE,TRUE,FALSE,12,TRUE,0,0,126,FALSE,2,1,0,F
11,677,70303,FALSE,TRUE,TRUE,5,FALSE,0,0,78,FALSE,2,0,1,T
11,677,70304,FALSE,TRUE,TRUE,5,FALSE,0,0,120,FALSE,2,0,1,T
11,677,70305,FALSE,TRUE,TRUE,5,FALSE,0,0,96,FALSE,2,0,1,T
49,71,885,FALSE,TRUE,FALSE,45,TRUE,0,0,140,FALSE,3,2,0,T
2450,2603,3119,FALSE,TRUE,FALSE,94,TRUE,0,0,140,FALSE,2,2,0,T
813,249,1422,FALSE,FALSE,FALSE,322,FALSE,0,0,135,FALSE,1,1,0,F
719,1639,333991,FALSE,FALSE,FALSE,98,TRUE,0,0,132,FALSE,2,1,0,T
1712,758,14467,FALSE,TRUE,FALSE,303,FALSE,0,0,113,FALSE,6,1,1,T
325,126,645,FALSE,TRUE,FALSE,51,FALSE,0,0,67,FALSE,2,1,0,T
5525,6435,140610,FALSE,TRUE,TRUE,192,FALSE,0,0,127,FALSE,1,0,1,T
382,323,4865,FALSE,TRUE,FALSE,12,TRUE,0,0,127,FALSE,0,1,1,T
737,200,229,FALSE,TRUE,FALSE,147,FALSE,0,0,65,FALSE,0,0,1,T
5019,6285,33953,FALSE,TRUE,TRUE,281,TRUE,0,0,131,FALSE,0,2,0,T
134,25249,8504,FALSE,TRUE,TRUE,226,FALSE,0,0,70,FALSE,1,0,1,T
11,136,39465,FALSE,TRUE,TRUE,86,FALSE,0,0,69,FALSE,0,0,2,T
380,158,1280,FALSE,TRUE,FALSE,76,FALSE,0,0,137,FALSE,1,2,0,F
573,2430,8370,FALSE,TRUE,FALSE,290,FALSE,0,0,51,FALSE,0,0,0,T
176,362,4398,FALSE,TRUE,FALSE,314,FALSE,0,0,137,FALSE,4,0,1,T
1070,2453,19142,FALSE,TRUE,TRUE,248,FALSE,0,0,106,FALSE,2,0,1,T
1986,2020,69706,FALSE,TRUE,TRUE,24,FALSE,0,0,140,FALSE,0,0,1,T
60,26,308,FALSE,TRUE,FALSE,137,FALSE,0,0,52,FALSE,1,1,0,T
216,24355,29922,TRUE,TRUE,TRUE,363,FALSE,0,0,130,FALSE,0,1,1,T
6,10,6940,FALSE,TRUE,TRUE,24,FALSE,0,0,55,FALSE,0,0,1,T
85,98,2522,FALSE,TRUE,TRUE,190,TRUE,0,0,113,FALSE,1,3,0,T
432,388,6574,FALSE,TRUE,TRUE,190,TRUE,0,0,140,FALSE,1,1,1,T
